"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","volumen_capacitados","total_horas","total_ganancias","carga_horaria","costo","anio","%_asistencia","prediction(%_asistencia)"
"mecánica automotriz","presencial","cayambe","pichincha",460.0,31.0,10.0,178.0,6200.0,0.0,200.0,0.0,2021.0,0.0,0.012852696019752636
"alimentación gastronomía y turismo","presencial","quito","pichincha",461.0,9.0,8.0,324.0,1080.0,0.0,120.0,0.0,2021.0,0.0,0.012852696019752636
"electricidad y electrónica","presencial","quito","pichincha",464.0,17.0,8.0,324.0,2040.0,0.0,120.0,0.0,2021.0,0.0,0.012852696019752636
"alimentación gastronomía y turismo","presencial","quito","pichincha",465.0,71.0,8.0,324.0,8520.0,0.0,120.0,0.0,2021.0,0.0,0.012852696019752636
"alimentación gastronomía y turismo","presencial","quito","pichincha",470.0,28.0,12.0,202.0,3360.0,0.0,120.0,0.0,2018.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","presencial","quito","pichincha",472.0,3.0,12.0,202.0,360.0,3481.2000000000003,120.0,1160.4,2018.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",476.0,241.0,11.0,352.0,28920.0,0.0,120.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",479.0,28.0,6.0,349.0,224.0,0.0,8.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",480.0,128.0,6.0,349.0,1024.0,0.0,8.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",482.0,59.0,6.0,349.0,472.0,0.0,8.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",483.0,30.0,6.0,349.0,360.0,0.0,12.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",485.0,48.0,8.0,149.0,384.0,0.0,8.0,0.0,2018.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",486.0,5.0,8.0,149.0,60.0,0.0,12.0,0.0,2018.0,0.0,0.012852696019752636
"administración y legislación","presencial","quito","pichincha",494.0,5.0,3.0,9.0,120.0,0.0,24.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","online","latacunga","cotopaxi",498.0,206.0,15.0,1256.0,2060.0,0.0,10.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","latacunga","cotopaxi",499.0,243.0,15.0,1256.0,4860.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","latacunga","cotopaxi",509.0,52.0,15.0,1256.0,780.0,0.0,15.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","latacunga","cotopaxi",515.0,6.0,15.0,1256.0,60.0,0.0,10.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","online","latacunga","cotopaxi",516.0,6.0,15.0,1256.0,60.0,0.0,10.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","latacunga","cotopaxi",519.0,63.0,15.0,1256.0,945.0,0.0,15.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","online","latacunga","cotopaxi",520.0,63.0,15.0,1256.0,945.0,0.0,15.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","latacunga","cotopaxi",521.0,14.0,3.0,44.0,560.0,0.0,40.0,0.0,2019.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","presencial","riobamba","chimborazo",523.0,5.0,2.0,13.0,200.0,1334.0,40.0,266.8,2021.0,0.0,0.012852696019752636
"artes y artesanía","presencial","pastaza","pastaza",525.0,5.0,2.0,16.0,1800.0,0.0,360.0,0.0,2021.0,0.0,0.012852696019752636
"artes y artesanía","presencial","pastaza","pastaza",526.0,11.0,2.0,16.0,1100.0,0.0,100.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",529.0,3.0,1.0,3.0,720.0,0.0,240.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","quito","pichincha",530.0,32.0,10.0,351.0,512.0,0.0,16.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","quito","pichincha",531.0,32.0,10.0,351.0,512.0,0.0,16.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",532.0,8.0,10.0,351.0,2240.0,0.0,280.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","quito","pichincha",534.0,127.0,10.0,351.0,2540.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","quito","pichincha",535.0,127.0,10.0,351.0,2540.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",536.0,14.0,10.0,351.0,280.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"finanzas comercio y ventas","online","quito","pichincha",541.0,32.0,10.0,351.0,512.0,0.0,16.0,0.0,2021.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","online","cayambe","pichincha",543.0,51.0,3.0,121.0,2040.0,30090.0,40.0,590.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",548.0,25.0,2.0,33.0,750.0,7252.500000000001,30.0,290.1,2021.0,0.2033677702757667,0.3475834685605733
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",549.0,8.0,2.0,33.0,240.0,3540.0,30.0,442.5,2021.0,0.0650776864882453,0.012852696019752636
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",550.0,41.0,4.0,107.0,1230.0,11894.1,30.0,290.1,2018.0,0.3335231432522574,0.8303030303030304
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",553.0,33.0,4.0,107.0,990.0,6603.3,30.0,200.1,2018.0,0.268445456764012,0.3475834685605733
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",554.0,44.0,7.0,397.0,1320.0,12764.4,30.0,290.1,2019.0,0.3579272756853494,0.8303030303030304
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",555.0,6.0,7.0,397.0,180.0,2655.0,30.0,442.5,2019.0,0.048808264866184,0.012852696019752636
"administración y legislación","online","quito","pichincha",570.0,32.0,19.0,1118.0,512.0,0.0,16.0,0.0,2021.0,0.5149662053427744,0.5632442870936595
"procesos industriales","presencial","quito","pichincha",572.0,92.0,19.0,1118.0,1104.0,0.0,12.0,0.0,2021.0,1.4805278403604765,0.906555090655509
"administración y legislación","presencial","quito","pichincha",574.0,55.0,19.0,1118.0,440.0,0.0,8.0,0.0,2021.0,0.8850981654328934,1.4161570646926296
"administración y legislación","online","quito","pichincha",581.0,20.0,19.0,1118.0,320.0,0.0,16.0,0.0,2021.0,0.3218538783392339,0.29302403779391223
"administración y legislación","online","quito","pichincha",583.0,88.0,19.0,1118.0,704.0,0.0,8.0,0.0,2021.0,1.4161570646926296,1.4161570646926296
"procesos industriales","presencial","quito","pichincha",584.0,4.0,19.0,1118.0,48.0,0.0,12.0,0.0,2021.0,0.0643707756678468,0.11078966361393133
"procesos industriales","presencial","quito","pichincha",588.0,57.0,19.0,1118.0,684.0,0.0,12.0,0.0,2021.0,0.9172835532668168,0.906555090655509
"finanzas comercio y ventas","online","quito","pichincha",598.0,102.0,11.0,680.0,4080.0,0.0,40.0,0.0,2019.0,1.641454779530093,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",599.0,14.0,11.0,680.0,168.0,0.0,12.0,0.0,2019.0,0.2252977148374637,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",602.0,51.0,11.0,680.0,918.0,0.0,18.0,0.0,2019.0,0.8207273897650467,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",603.0,16.0,1.0,16.0,128.0,0.0,8.0,0.0,2021.0,0.0,0.012852696019752636
"alimentación gastronomía y turismo","presencial","ambato","tungurahua",605.0,34.0,12.0,354.0,2312.0,0.0,68.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","quito","pichincha",612.0,50.0,4.0,104.0,1000.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"actividades de atención de la salud humana y de asistencia social","desconocida","loja","loja",613.0,35.0,3.0,80.0,0.0,0.0,0.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",617.0,69.0,1.0,69.0,4140.0,0.0,60.0,0.0,2018.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",618.0,4.0,2.0,57.0,240.0,0.0,60.0,0.0,2019.0,0.0,0.012852696019752636
"servicios socioculturales y a la comunidad","online","quito","pichincha",625.0,11.0,9.0,109.0,1760.0,0.0,160.0,0.0,2021.0,0.0,0.012852696019752636
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",626.0,1.0,9.0,109.0,160.0,0.0,160.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","quito","pichincha",627.0,17.0,20.0,1373.0,510.0,0.0,30.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",628.0,28.0,20.0,1373.0,336.0,0.0,12.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",630.0,480.0,20.0,1373.0,8640.0,0.0,18.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",633.0,51.0,20.0,1373.0,612.0,0.0,12.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",634.0,1.0,20.0,1373.0,36.0,0.0,36.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",635.0,429.0,20.0,1373.0,5148.0,0.0,12.0,0.0,2021.0,0.0,0.0
"procesos industriales","online","quito","pichincha",636.0,429.0,20.0,1373.0,5148.0,0.0,12.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",638.0,111.0,20.0,1373.0,1332.0,0.0,12.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",640.0,19.0,20.0,1373.0,228.0,0.0,12.0,0.0,2021.0,0.0,0.0
"procesos industriales","online","quito","pichincha",643.0,84.0,9.0,238.0,1512.0,0.0,18.0,0.0,2019.0,0.0,0.012852696019752636
"procesos industriales","online","quito","pichincha",644.0,84.0,9.0,238.0,672.0,0.0,8.0,0.0,2019.0,0.0,0.012852696019752636
"educación y capacitación","online","milagro","guayas",654.0,66.0,7.0,239.0,7920.0,0.0,120.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","milagro","guayas",655.0,41.0,7.0,239.0,4920.0,0.0,120.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","milagro","guayas",662.0,26.0,3.0,91.0,6240.0,0.0,240.0,0.0,2019.0,0.0,0.012852696019752636
"educación y capacitación","online","milagro","guayas",663.0,26.0,3.0,91.0,6240.0,0.0,240.0,0.0,2019.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",664.0,16.0,12.0,621.0,512.0,0.0,32.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",666.0,113.0,12.0,621.0,3616.0,0.0,32.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",673.0,36.0,4.0,47.0,1152.0,0.0,32.0,0.0,2018.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",675.0,170.0,14.0,336.0,5440.0,0.0,32.0,0.0,2019.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",676.0,3.0,14.0,336.0,114.0,0.0,38.0,0.0,2019.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",678.0,27.0,14.0,336.0,648.0,0.0,24.0,0.0,2019.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",681.0,3.0,1.0,3.0,288.0,0.0,96.0,0.0,2021.0,0.0,0.012852696019752636
"alimentación gastronomía y turismo","presencial","portoviejo","manabi",682.0,6.0,1.0,6.0,60.0,0.0,10.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",684.0,52.0,38.0,1280.0,2080.0,0.0,40.0,0.0,2021.0,0.0971962616822429,0.04797507788161993
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",688.0,14.0,38.0,1280.0,280.0,4130.0,20.0,295.0,2021.0,0.0261682242990654,0.0404984423676012
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",689.0,22.0,38.0,1280.0,440.0,6490.0,20.0,295.0,2021.0,0.0411214953271028,0.0404984423676012
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",691.0,69.0,38.0,1280.0,2760.0,28980.0,40.0,420.0,2021.0,0.1289719626168224,0.5150895638629283
"tecnologías de la información y comunicación","online","guayaquil","guayas",695.0,33.0,38.0,1280.0,660.0,2640.0,20.0,80.0,2021.0,0.0616822429906542,0.07227414330218064
"construcción e infraestructura","online","guayaquil","guayas",697.0,37.0,38.0,1280.0,740.0,0.0,20.0,0.0,2021.0,0.0691588785046729,0.04797507788161993
"construcción e infraestructura","presencial","guayaquil","guayas",698.0,41.0,38.0,1280.0,820.0,0.0,20.0,0.0,2021.0,0.0766355140186915,0.04797507788161993
"construcción e infraestructura","online","guayaquil","guayas",703.0,8.0,38.0,1280.0,160.0,0.0,20.0,0.0,2021.0,0.0149532710280373,0.016510903426791217
"administración y legislación","presencial","guayaquil","guayas",704.0,231.0,38.0,1280.0,9240.0,0.0,40.0,0.0,2021.0,0.4317757009345794,0.2158878504672897
"construcción e infraestructura","online","guayaquil","guayas",711.0,10.0,38.0,1280.0,200.0,0.0,20.0,0.0,2021.0,0.0186915887850467,0.016510903426791217
"electricidad y electrónica","online","guayaquil","guayas",713.0,9.0,38.0,1280.0,360.0,0.0,40.0,0.0,2021.0,0.016822429906542,0.016510903426791217
"finanzas comercio y ventas","online","guayaquil","guayas",718.0,6.0,38.0,1280.0,96.0,0.0,16.0,0.0,2021.0,0.011214953271028,0.01028037383177565
"tecnologías de la información y comunicación","online","guayaquil","guayas",720.0,8.0,38.0,1280.0,160.0,640.0,20.0,80.0,2021.0,0.0149532710280373,0.016510903426791217
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",721.0,28.0,38.0,1280.0,840.0,11415.6,30.0,407.7,2021.0,0.0523364485981308,0.0404984423676012
"tecnologías de la información y comunicación","online","guayaquil","guayas",724.0,35.0,38.0,1280.0,1400.0,8526.0,40.0,243.6,2021.0,0.0654205607476635,0.07227414330218064
"tecnologías de la información y comunicación","online","guayaquil","guayas",726.0,22.0,38.0,1280.0,440.0,7972.799999999999,20.0,362.4,2021.0,0.0411214953271028,0.0404984423676012
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",727.0,116.0,38.0,1280.0,2320.0,34220.0,20.0,295.0,2021.0,0.216822429906542,0.5150895638629283
"administración y legislación","presencial","guayaquil","guayas",729.0,13.0,38.0,1280.0,208.0,0.0,16.0,0.0,2021.0,0.0242990654205607,0.06728971962616817
"administración y legislación","online","guayaquil","guayas",730.0,13.0,38.0,1280.0,208.0,0.0,16.0,0.0,2021.0,0.0242990654205607,0.06728971962616817
"construcción e infraestructura","presencial","guayaquil","guayas",733.0,10.0,38.0,1280.0,200.0,0.0,20.0,0.0,2021.0,0.0186915887850467,0.06728971962616817
"construcción e infraestructura","online","guayaquil","guayas",734.0,10.0,38.0,1280.0,200.0,0.0,20.0,0.0,2021.0,0.0186915887850467,0.06728971962616817
"tecnologías de la información y comunicación","online","guayaquil","guayas",737.0,24.0,38.0,1280.0,480.0,4641.6,20.0,193.4,2021.0,0.0448598130841121,0.0404984423676012
"tecnologías de la información y comunicación","online","guayaquil","guayas",739.0,108.0,38.0,1280.0,2160.0,8640.0,20.0,80.0,2021.0,0.2018691588785046,0.07227414330218064
"tecnologías de la información y comunicación","online","guayaquil","guayas",742.0,2.0,38.0,1280.0,40.0,160.0,20.0,80.0,2021.0,0.0037383177570093,0.03364485981308405
"tecnologías de la información y comunicación","online","guayaquil","guayas",743.0,30.0,38.0,1280.0,600.0,2400.0,20.0,80.0,2021.0,0.0560747663551401,0.0404984423676012
"administración y legislación","presencial","guayaquil","guayas",746.0,106.0,8.0,318.0,4240.0,0.0,40.0,0.0,2019.0,0.1981308411214953,0.012852696019752636
"construcción e infraestructura","presencial","guayaquil","guayas",752.0,12.0,8.0,318.0,480.0,0.0,40.0,0.0,2019.0,0.022429906542056,0.012852696019752636
"tecnologías de la información y comunicación","online","guayaquil","guayas",753.0,76.0,8.0,318.0,3040.0,6840.0,40.0,90.0,2019.0,0.1420560747663551,0.8303030303030304
"tecnologías de la información y comunicación","online","quito","pichincha",756.0,8.0,5.0,50.0,320.0,3865.6,40.0,483.2,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",757.0,5.0,5.0,50.0,200.0,0.0,40.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","semipresencial","quito","pichincha",758.0,5.0,5.0,50.0,200.0,0.0,40.0,0.0,2021.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","online","quito","pichincha",760.0,6.0,5.0,50.0,240.0,2320.8,40.0,386.8,2021.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","semipresencial","quito","pichincha",764.0,10.0,5.0,86.0,400.0,4832.0,40.0,483.2,2019.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","online","quito","pichincha",765.0,10.0,5.0,86.0,400.0,4832.0,40.0,483.2,2019.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","online","quito","pichincha",766.0,12.0,5.0,86.0,480.0,4641.6,40.0,386.8,2019.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","online","quito","pichincha",767.0,12.0,5.0,86.0,1440.0,13924.8,120.0,1160.4,2019.0,0.0,0.0
"administración y legislación","semipresencial","quito","pichincha",770.0,46.0,5.0,86.0,1840.0,0.0,40.0,0.0,2019.0,0.0,0.012852696019752636
"procesos industriales","presencial","riobamba","chimborazo",772.0,1.0,2.0,2.0,18.0,0.0,18.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","riobamba","chimborazo",774.0,21.0,54.0,1783.0,168.0,0.0,8.0,0.0,2018.0,0.0,0.0
"procesos industriales","online","riobamba","chimborazo",775.0,21.0,54.0,1783.0,168.0,0.0,8.0,0.0,2018.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",776.0,21.0,54.0,1783.0,168.0,0.0,8.0,0.0,2018.0,0.0,0.0
"forestal ecología y medio ambiente","presencial","riobamba","chimborazo",777.0,2.0,54.0,1783.0,60.0,0.0,30.0,0.0,2018.0,0.0,0.0
"educación y capacitación","online","riobamba","chimborazo",780.0,12.0,54.0,1783.0,1440.0,0.0,120.0,0.0,2018.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",781.0,32.0,54.0,1783.0,256.0,0.0,8.0,0.0,2018.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",786.0,192.0,54.0,1783.0,1536.0,0.0,8.0,0.0,2018.0,0.0,0.0
"procesos industriales","online","riobamba","chimborazo",787.0,192.0,54.0,1783.0,1536.0,0.0,8.0,0.0,2018.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",790.0,10.0,54.0,1783.0,80.0,0.0,8.0,0.0,2018.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",792.0,10.0,54.0,1783.0,240.0,0.0,24.0,0.0,2018.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",793.0,155.0,27.0,1271.0,2790.0,0.0,18.0,0.0,2019.0,0.0,0.0
"educación y capacitación","presencial","riobamba","chimborazo",797.0,25.0,27.0,1271.0,3000.0,0.0,120.0,0.0,2019.0,0.0,0.0
"forestal ecología y medio ambiente","presencial","riobamba","chimborazo",799.0,20.0,27.0,1271.0,160.0,0.0,8.0,0.0,2019.0,0.0,0.0
"procesos industriales","online","riobamba","chimborazo",800.0,20.0,27.0,1271.0,160.0,0.0,8.0,0.0,2019.0,0.0,0.0
"procesos industriales","online","riobamba","chimborazo",802.0,43.0,27.0,1271.0,344.0,0.0,8.0,0.0,2019.0,0.0,0.0
"procesos industriales","online","riobamba","chimborazo",810.0,9.0,27.0,1271.0,72.0,0.0,8.0,0.0,2019.0,0.0,0.0
"educación y capacitación","presencial","riobamba","chimborazo",811.0,14.0,27.0,1271.0,420.0,0.0,30.0,0.0,2019.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",815.0,1.0,2.0,2.0,18.0,0.0,18.0,0.0,2020.0,0.0,0.012852696019752636
"procesos industriales","presencial","riobamba","chimborazo",816.0,199.0,39.0,2842.0,3582.0,0.0,18.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",817.0,134.0,39.0,2842.0,1072.0,0.0,8.0,0.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente","presencial","riobamba","chimborazo",820.0,50.0,39.0,2842.0,2000.0,0.0,40.0,0.0,2022.0,0.0,0.0
"educación y capacitación","online","riobamba","chimborazo",822.0,161.0,39.0,2842.0,19320.0,0.0,120.0,0.0,2022.0,0.0,0.0
"procesos industriales","online","riobamba","chimborazo",824.0,30.0,39.0,2842.0,240.0,0.0,8.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",825.0,277.0,39.0,2842.0,2216.0,0.0,8.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",829.0,133.0,39.0,2842.0,1064.0,0.0,8.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",830.0,133.0,39.0,2842.0,2128.0,0.0,16.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",832.0,39.0,39.0,2842.0,312.0,0.0,8.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",836.0,482.0,39.0,2842.0,7712.0,0.0,16.0,0.0,2022.0,0.0,0.0
"administración y legislación","presencial","riobamba","chimborazo",838.0,1.0,39.0,2842.0,30.0,0.0,30.0,0.0,2022.0,0.0,0.0
"educación y capacitación","presencial","riobamba","chimborazo",842.0,6.0,39.0,2842.0,240.0,0.0,40.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",845.0,28.0,39.0,2842.0,224.0,0.0,8.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",846.0,28.0,39.0,2842.0,448.0,0.0,16.0,0.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente","presencial","riobamba","chimborazo",847.0,119.0,39.0,2842.0,4760.0,0.0,40.0,0.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente","presencial","riobamba","chimborazo",850.0,26.0,39.0,2842.0,208.0,0.0,8.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",856.0,9.0,39.0,2842.0,108.0,0.0,12.0,0.0,2022.0,0.0,0.0
"procesos industriales","presencial","riobamba","chimborazo",858.0,327.0,39.0,2842.0,5232.0,0.0,16.0,0.0,2022.0,0.0,0.0
"administración y legislación","presencial","ibarra","imbabura",866.0,33.0,3.0,216.0,660.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","ibarra","imbabura",867.0,148.0,3.0,216.0,59200.0,0.0,400.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","ibarra","imbabura",868.0,35.0,3.0,216.0,7000.0,0.0,200.0,0.0,2021.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",870.0,97.0,2.0,223.0,16490.0,0.0,170.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","quito","pichincha",871.0,36.0,2.0,77.0,6120.0,0.0,170.0,0.0,2019.0,0.0,0.012852696019752636
"educación y capacitación","presencial","quito","pichincha",872.0,41.0,2.0,77.0,6970.0,0.0,170.0,0.0,2019.0,0.0,0.012852696019752636
"artes y artesanía","presencial","quito","pichincha",873.0,284.0,25.0,2940.0,22720.0,0.0,80.0,0.0,2021.0,0.0,0.0
"artes y artesanía","presencial","quito","pichincha",880.0,1.0,5.0,17.0,360.0,0.0,360.0,0.0,2021.0,0.0,0.012852696019752636
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",881.0,1.0,5.0,17.0,360.0,0.0,360.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","guayaquil","guayas",883.0,20.0,5.0,161.0,480.0,0.0,24.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","online","guayaquil","guayas",884.0,20.0,5.0,161.0,480.0,0.0,24.0,0.0,2021.0,0.0,0.012852696019752636
"finanzas comercio y ventas","presencial","quito","pichincha",890.0,6.0,11.0,190.0,48.0,0.0,8.0,0.0,2021.0,0.0,0.012852696019752636
"transporte y logística","presencial","quito","pichincha",892.0,24.0,11.0,190.0,312.0,0.0,13.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","quito","pichincha",894.0,23.0,11.0,190.0,368.0,0.0,16.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","quito","pichincha",896.0,8.0,12.0,116.0,96.0,0.0,12.0,0.0,2019.0,0.0,0.012852696019752636
"transporte y logística","presencial","quito","pichincha",897.0,8.0,12.0,116.0,104.0,0.0,13.0,0.0,2019.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",900.0,19.0,10.0,385.0,418.0,0.0,22.0,0.0,2021.0,0.0,0.012852696019752636
"electricidad y electrónica","presencial","guayaquil","guayas",902.0,9.0,10.0,385.0,180.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"electricidad y electrónica","presencial","guayaquil","guayas",903.0,7.0,10.0,385.0,140.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",904.0,21.0,10.0,385.0,462.0,0.0,22.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",905.0,230.0,10.0,385.0,2760.0,0.0,12.0,0.0,2021.0,0.0,0.012852696019752636
"mecánica industrial y minería","presencial","guayaquil","guayas",907.0,45.0,10.0,385.0,900.0,0.0,20.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",908.0,1.0,10.0,385.0,12.0,0.0,12.0,0.0,2021.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",913.0,5.0,17.0,840.0,40.0,0.0,8.0,0.0,2018.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",915.0,10.0,17.0,840.0,120.0,0.0,12.0,0.0,2018.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",916.0,21.0,17.0,840.0,252.0,0.0,12.0,0.0,2018.0,0.0,0.012852696019752636
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",917.0,6.0,17.0,840.0,96.0,307.999999968,16.0,51.333333328,2018.0,0.0,0.012852696019752636
"procesos industriales","presencial","guayaquil","guayas",919.0,79.0,17.0,840.0,632.0,0.0,8.0,0.0,2018.0,0.0,0.012852696019752636
"mecánica industrial y minería","presencial","guayaquil","guayas",920.0,16.0,17.0,840.0,320.0,0.0,20.0,0.0,2018.0,0.0,0.012852696019752636
"procesos industriales","presencial","samborondon","sin provincia",921.0,10.0,9.0,186.0,120.0,0.0,12.0,0.0,2021.0,0.0,0.012852696019752636
"administración y legislación","presencial","samborondon","sin provincia",924.0,10.0,9.0,186.0,320.0,0.0,32.0,0.0,2021.0,0.0,0.012852696019752636
"MISSING","desconocida","quito","pichincha",927.0,32.0,3.0,103.0,0.0,0.0,0.0,0.0,2021.0,0.0,0.012852696019752636
